n,osqp_iter,osqp_runtime,gurobi_iter,gurobi_runtime
10,26.1904761905,0.000113491174244,7.61904761905,0.0066952478318
20,26.1904761905,0.000328234478102,8.0,0.0178536006382
30,26.1904761905,0.0005760904052,8.2380952381,0.00669869922456
50,26.1904761905,0.00137429605129,8.2380952381,0.0171127319336
80,30.9523809524,0.00355484171311,8.61904761905,0.0438979012625
100,26.1904761905,0.00446330058319,8.42857142857,0.0744045802525
150,26.1904761905,0.0112707956845,8.71428571429,0.200827825637
200,34.5238095238,0.0676567666847,8.71428571429,0.445688156855
250,26.1904761905,0.0773668499876,8.61904761905,0.667913981846
300,45.2380952381,0.140189031128,8.95238095238,1.00372732253
350,32.1428571429,0.131638846768,8.85714285714,1.46132569086
400,33.3333333333,0.173885748009,8.90476190476,2.11981346494
