iter,n,runtime,solver
25,100,0.00480095,emosqp
25,100,0.004707286,emosqp
25,100,0.005406489,emosqp
25,100,0.004796895,emosqp
25,100,0.006802503,emosqp
25,100,0.004746219,emosqp
25,100,0.00473046,emosqp
25,100,0.005035184,emosqp
25,100,0.007834984,emosqp
25,100,0.007071688,emosqp
25,100,0.00400934,emosqp
50,150,0.025695456,emosqp
25,150,0.019861915,emosqp
25,150,0.011949748,emosqp
25,150,0.024886554,emosqp
25,150,0.008358257,emosqp
25,150,0.008038395,emosqp
25,150,0.00726625,emosqp
25,150,0.00686198,emosqp
25,150,0.008164938,emosqp
25,150,0.015922751,emosqp
25,150,0.012897792,emosqp
25,150,0.010581189,emosqp
25,150,0.008660474,emosqp
25,150,0.007663711,emosqp
25,150,0.007486308,emosqp
25,150,0.007093413,emosqp
25,150,0.007424804,emosqp
25,150,0.007178671,emosqp
25,150,0.006865423,emosqp
25,150,0.008455451,emosqp
25,150,0.007667586,emosqp
100,200,0.177518124,emosqp
50,200,0.180298859,emosqp
50,200,0.123165411,emosqp
50,200,0.116049845,emosqp
75,200,0.127534844,emosqp
25,200,0.029541999,emosqp
25,200,0.032431763,emosqp
25,200,0.032130236,emosqp
25,200,0.031641022,emosqp
25,200,0.036052006,emosqp
25,200,0.039944112,emosqp
25,200,0.043408614,emosqp
25,200,0.045529509,emosqp
25,200,0.037703355,emosqp
25,200,0.04331864,emosqp
25,200,0.041722776,emosqp
25,200,0.045584707,emosqp
25,200,0.04131594,emosqp
25,200,0.029818761,emosqp
25,200,0.028433891,emosqp
25,200,0.037577123,emosqp
50,250,0.17767057,emosqp
25,250,0.084100248,emosqp
25,250,0.142751431,emosqp
25,250,0.086634786,emosqp
25,250,0.113873219,emosqp
25,250,0.107362676,emosqp
25,250,0.076968356,emosqp
25,250,0.062713198,emosqp
25,250,0.058329604,emosqp
25,250,0.054655149,emosqp
25,250,0.040070601,emosqp
25,250,0.040668143,emosqp
25,250,0.03938393,emosqp
25,250,0.038998669,emosqp
25,250,0.041243224,emosqp
25,250,0.042593461,emosqp
25,250,0.070684892,emosqp
25,250,0.056184404,emosqp
25,250,0.060336837,emosqp
25,250,0.151284568,emosqp
25,250,0.183361052,emosqp
200,300,1.325031776,emosqp
100,300,0.596015151,emosqp
50,300,0.185622803,emosqp
75,300,0.300355219,emosqp
75,300,0.296880268,emosqp
50,300,0.166142301,emosqp
50,300,0.16041539,emosqp
25,300,0.088928175,emosqp
25,300,0.113425418,emosqp
25,300,0.075648096,emosqp
25,300,0.0759695,emosqp
25,300,0.101518473,emosqp
25,300,0.094819085,emosqp
25,300,0.08911447,emosqp
25,300,0.07263439,emosqp
25,300,0.070623279,emosqp
25,300,0.069229581,emosqp
25,300,0.067214482,emosqp
25,300,0.077215231,emosqp
25,300,0.085995037,emosqp
25,300,0.066931232,emosqp
75,350,0.670478698,emosqp
50,350,0.319529372,emosqp
50,350,0.304330942,emosqp
50,350,0.23689481,emosqp
25,350,0.105985341,emosqp
50,350,0.242446025,emosqp
25,350,0.101762831,emosqp
25,350,0.096469877,emosqp
25,350,0.096203188,emosqp
25,350,0.079839747,emosqp
25,350,0.086255625,emosqp
25,350,0.081662157,emosqp
25,350,0.084346405,emosqp
25,350,0.078467693,emosqp
25,350,0.077734134,emosqp
25,350,0.081173283,emosqp
25,350,0.083085366,emosqp
25,350,0.090575498,emosqp
25,350,0.107460982,emosqp
25,350,0.131910035,emosqp
25,350,0.125162423,emosqp
75,400,0.801266764,emosqp
50,400,0.494909402,emosqp
50,400,0.319472882,emosqp
25,400,0.225709058,emosqp
50,400,0.331561651,emosqp
25,400,0.197125371,emosqp
50,400,0.280633993,emosqp
50,400,0.250542997,emosqp
25,400,0.130476529,emosqp
25,400,0.143334409,emosqp
25,400,0.131665412,emosqp
25,400,0.122653516,emosqp
25,400,0.12407616,emosqp
25,400,0.122606873,emosqp
25,400,0.12284592,emosqp
25,400,0.128252137,emosqp
25,400,0.122921967,emosqp
25,400,0.124604454,emosqp
25,400,0.124376922,emosqp
25,400,0.119907468,emosqp
25,400,0.122016927,emosqp
