iter,n,runtime,solver
6,10,0.0781269073486,gurobi
6,10,0.0,gurobi
6,10,0.0,gurobi
7,10,0.0156230926514,gurobi
7,10,0.0,gurobi
7,10,0.0,gurobi
8,10,0.0,gurobi
8,10,0.0,gurobi
8,10,0.0,gurobi
8,10,0.0156192779541,gurobi
8,10,0.0156116485596,gurobi
8,10,0.0,gurobi
8,10,0.0,gurobi
9,10,0.0,gurobi
9,10,0.0,gurobi
8,10,0.0,gurobi
8,10,0.0156192779541,gurobi
8,10,0.0,gurobi
8,10,0.0,gurobi
8,10,0.0,gurobi
7,10,0.0,gurobi
6,20,0.0156078338623,gurobi
6,20,0.0312480926514,gurobi
6,20,0.0156192779541,gurobi
6,20,0.0156211853027,gurobi
7,20,0.0156211853027,gurobi
7,20,0.0156211853027,gurobi
10,20,0.0312442779541,gurobi
9,20,0.015625,gurobi
9,20,0.0312614440918,gurobi
8,20,0.0156211853027,gurobi
8,20,0.0156192779541,gurobi
10,20,0.015625,gurobi
9,20,0.0156211853027,gurobi
9,20,0.0156269073486,gurobi
10,20,0.0156192779541,gurobi
8,20,0.0156211853027,gurobi
8,20,0.0156230926514,gurobi
8,20,0.0156211853027,gurobi
8,20,0.0156078338623,gurobi
8,20,0.015625,gurobi
8,20,0.015625,gurobi
7,30,0.0156803131104,gurobi
7,30,0.0,gurobi
7,30,0.0,gurobi
8,30,0.0156059265137,gurobi
8,30,0.0,gurobi
8,30,0.0,gurobi
9,30,0.015625,gurobi
9,30,0.0,gurobi
10,30,0.0,gurobi
8,30,0.0156211853027,gurobi
10,30,0.0156269073486,gurobi
10,30,0.0,gurobi
9,30,0.0156383514404,gurobi
9,30,0.015625,gurobi
8,30,0.0,gurobi
8,30,0.0,gurobi
8,30,0.015625,gurobi
8,30,0.0,gurobi
8,30,0.0,gurobi
7,30,0.0,gurobi
7,30,0.015625,gurobi
7,50,0.015625,gurobi
7,50,0.0156078338623,gurobi
7,50,0.015625,gurobi
8,50,0.015625,gurobi
9,50,0.015625,gurobi
9,50,0.0156269073486,gurobi
9,50,0.015625,gurobi
