iter,n,runtime,solver
75,50,0.00019239,emosqp
75,50,0.0002325,emosqp
50,50,0.000114085,emosqp
50,50,0.000103824,emosqp
50,50,0.000129571,emosqp
50,50,0.00011533,emosqp
25,50,6.6041e-05,emosqp
25,50,6.31e-05,emosqp
50,50,0.000116939,emosqp
50,50,0.000114667,emosqp
100,50,0.00029402,emosqp
75,80,0.000192204,emosqp
25,80,6.3801e-05,emosqp
50,80,0.000122637,emosqp
50,80,0.000122253,emosqp
50,80,0.000122447,emosqp
50,80,0.000122026,emosqp
50,80,0.000122538,emosqp
25,80,6.3721e-05,emosqp
50,80,0.000121288,emosqp
50,80,0.000122719,emosqp
100,80,0.000237448,emosqp
50,100,0.000182173,emosqp
25,100,8.8679e-05,emosqp
50,100,0.000168711,emosqp
50,100,0.000167436,emosqp
50,100,0.000261574,emosqp
50,100,0.000230586,emosqp
50,100,0.000198445,emosqp
50,100,0.000169074,emosqp
50,100,0.000168982,emosqp
75,100,0.000248938,emosqp
150,100,0.000730482,emosqp
50,120,0.000440004,emosqp
25,120,0.000168494,emosqp
50,120,0.000325037,emosqp
50,120,0.000337332,emosqp
50,120,0.000318809,emosqp
50,120,0.000369849,emosqp
50,120,0.000364089,emosqp
25,120,0.000175175,emosqp
50,120,0.000335344,emosqp
75,120,0.000502413,emosqp
150,120,0.000940526,emosqp
50,150,0.000497302,emosqp
25,150,0.000236768,emosqp
25,150,0.000233857,emosqp
50,150,0.000472455,emosqp
50,150,0.000457222,emosqp
50,150,0.000443837,emosqp
50,150,0.00046872,emosqp
50,150,0.000468162,emosqp
50,150,0.000463904,emosqp
100,150,0.000919565,emosqp
200,150,0.001891938,emosqp
50,200,0.000742313,emosqp
25,200,0.000352522,emosqp
25,200,0.000346864,emosqp
50,200,0.000649942,emosqp
50,200,0.000679514,emosqp
50,200,0.000652602,emosqp
50,200,0.00067202,emosqp
50,200,0.000670322,emosqp
100,200,0.001346792,emosqp
175,200,0.002179722,emosqp
325,200,0.004040975,emosqp
50,250,0.001080589,emosqp
25,250,0.000505942,emosqp
25,250,0.000486124,emosqp
25,250,0.000713664,emosqp
25,250,0.00056279,emosqp
25,250,0.000503143,emosqp
50,250,0.00097899,emosqp
50,250,0.003799358,emosqp
50,250,0.001007797,emosqp
75,250,0.002123429,emosqp
225,250,0.005277513,emosqp
50,300,0.001445822,emosqp
25,300,0.000690738,emosqp
25,300,0.000692646,emosqp
50,300,0.001344268,emosqp
25,300,0.000890741,emosqp
25,300,0.000680641,emosqp
50,300,0.001355876,emosqp
100,300,0.002692134,emosqp
100,300,0.00367567,emosqp
125,300,0.003682051,emosqp
175,300,0.006308726,emosqp
50,400,0.00257043,emosqp
25,400,0.002257779,emosqp
25,400,0.001042696,emosqp
50,400,0.0021708,emosqp
50,400,0.002109028,emosqp
50,400,0.00216244,emosqp
50,400,0.002442653,emosqp
50,400,0.002765666,emosqp
75,400,0.005525567,emosqp
100,400,0.004391278,emosqp
175,400,0.010053714,emosqp
50,500,0.004696633,emosqp
25,500,0.001625541,emosqp
25,500,0.001774688,emosqp
50,500,0.004522845,emosqp
50,500,0.004341455,emosqp
50,500,0.004468428,emosqp
50,500,0.008698672,emosqp
50,500,0.007775911,emosqp
75,500,0.007922321,emosqp
100,500,0.036952533,emosqp
225,500,0.01778386,emosqp
