iter,n,runtime,solver
61,50,0.003376007080078125,qpoases
2,50,0.0001010894775390625,qpoases
4,50,0.0001881122589111328,qpoases
8,50,0.0002961158752441406,qpoases
6,50,0.00025200843811035156,qpoases
7,50,0.0007050037384033203,qpoases
4,50,0.00019097328186035156,qpoases
0,50,3.0994415283203125e-05,qpoases
0,50,3.0994415283203125e-05,qpoases
0,50,3.886222839355469e-05,qpoases
0,50,3.790855407714844e-05,qpoases
106,80,0.013521909713745117,qpoases
5,80,0.0004911422729492188,qpoases
3,80,0.00025916099548339844,qpoases
4,80,0.0003859996795654297,qpoases
9,80,0.0007739067077636719,qpoases
12,80,0.0008311271667480469,qpoases
5,80,0.00030112266540527344,qpoases
5,80,0.00038695335388183594,qpoases
0,80,5.3882598876953125e-05,qpoases
0,80,6.008148193359375e-05,qpoases
0,80,8.106231689453125e-05,qpoases
131,100,0.018656015396118164,qpoases
1,100,0.00024509429931640625,qpoases
2,100,0.0003840923309326172,qpoases
9,100,0.0010819435119628906,qpoases
10,100,0.0011749267578125,qpoases
9,100,0.0012500286102294922,qpoases
1,100,0.0005359649658203125,qpoases
4,100,0.0003609657287597656,qpoases
1,100,0.00013303756713867188,qpoases
0,100,8.106231689453125e-05,qpoases
3,100,0.0004210472106933594,qpoases
121,120,0.02474188804626465,qpoases
2,120,0.000392913818359375,qpoases
3,120,0.0011298656463623047,qpoases
11,120,0.0034170150756835938,qpoases
16,120,0.0021049976348876953,qpoases
10,120,0.0019309520721435547,qpoases
5,120,0.0010111331939697266,qpoases
2,120,0.0002930164337158203,qpoases
0,120,7.605552673339844e-05,qpoases
3,120,0.0005390644073486328,qpoases
0,120,8.606910705566406e-05,qpoases
169,150,0.05759787559509277,qpoases
3,150,0.001035928726196289,qpoases
3,150,0.0009372234344482422,qpoases
9,150,0.0024819374084472656,qpoases
13,150,0.0031480789184570312,qpoases
16,150,0.0036728382110595703,qpoases
7,150,0.002115011215209961,qpoases
12,150,0.004817008972167969,qpoases
4,150,0.001934051513671875,qpoases
0,150,0.00013113021850585938,qpoases
5,150,0.001127004623413086,qpoases
221,200,0.11337804794311523,qpoases
2,200,0.0012750625610351562,qpoases
4,200,0.0015401840209960938,qpoases
5,200,0.0021979808807373047,qpoases
18,200,0.009553909301757812,qpoases
10,200,0.0018579959869384766,qpoases
6,200,0.0014801025390625,qpoases
7,200,0.005850076675415039,qpoases
7,200,0.0029540061950683594,qpoases
4,200,0.0016989707946777344,qpoases
0,200,0.00022482872009277344,qpoases
268,250,0.1673269271850586,qpoases
2,250,0.0011839866638183594,qpoases
6,250,0.001943826675415039,qpoases
5,250,0.002524852752685547,qpoases
10,250,0.004327058792114258,qpoases
18,250,0.0065250396728515625,qpoases
14,250,0.006109952926635742,qpoases
4,250,0.0010879039764404297,qpoases
5,250,0.001280069351196289,qpoases
10,250,0.0052111148834228516,qpoases
7,250,0.0028371810913085938,qpoases
315,300,0.5127301216125488,qpoases
1,300,0.001725912094116211,qpoases
3,300,0.00448298454284668,qpoases
6,300,0.008587121963500977,qpoases
15,300,0.045491933822631836,qpoases
25,300,0.05768299102783203,qpoases
13,300,0.022428035736083984,qpoases
17,300,0.01588892936706543,qpoases
0,300,0.0004470348358154297,qpoases
3,300,0.026502132415771484,qpoases
0,300,0.0004279613494873047,qpoases
400,400,0.63254714012146,qpoases
1,400,0.001695871353149414,qpoases
7,400,0.006426811218261719,qpoases
11,400,0.010041952133178711,qpoases
14,400,0.011199951171875,qpoases
26,400,0.019987106323242188,qpoases
9,400,0.0057828426361083984,qpoases
5,400,0.003443002700805664,qpoases
1,400,0.0008420944213867188,qpoases
6,400,0.005154848098754883,qpoases
15,400,0.015758991241455078,qpoases
497,500,1.9476470947265625,qpoases
0,500,0.0006589889526367188,qpoases
2,500,0.00425410270690918,qpoases
5,500,0.016704082489013672,qpoases
17,500,0.030104875564575195,qpoases
18,500,0.03153109550476074,qpoases
15,500,0.02368783950805664,qpoases
3,500,0.004929065704345703,qpoases
3,500,0.004022836685180664,qpoases
9,500,0.014544963836669922,qpoases
1,500,0.0019199848175048828,qpoases
